% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:27"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,0.012026027217739899,-4.776664762250368E-8,0,0.012026027217645036
1,-650,0.012024285175674864,-1.426240895668002E-4,0,0.012023439289780172
2,-650,0.012022809850724653,-2.851704378390319E-4,0,0.012019427379374795
3,-650,0.012020340875018413,-4.2761636825840513E-4,0,0.012012732369999588
4,-650,0.012016351746746434,-5.695250706815088E-4,0,0.01200284759944078
5,-650,0.012011308074871094,-7.129916193850862E-4,0,0.011990127798324344
6,-650,0.012006798593278606,-8.539873003583828E-4,0,0.011976390029987488
7,-650,0.01199937042971117,-9.958038335536662E-4,0,0.011957979153456769
8,-650,0.011991598215682174,-0.0011369985179702864,0,0.011937573544757128
9.000000000000002,-650,0.011982416811031862,-0.0012754854946019634,0,0.01191433797516081
10,-650,0.011972007935977321,-0.0014148535369307887,0,0.011888110173115758
11,-650,0.01196463423417375,-0.0015570920663721872,0,0.01186288062210875
12,-650,0.011949561396464735,-0.0017000796858208616,0,0.011828006874775625
13.000000000000002,-650,0.011935402923845097,-0.0018397857983117024,0,0.01179275333291003
14,-650,0.011924104669095135,-0.001975705513572852,0,0.011759288238799754
15,-650,0.01191405918983539,-0.0021116252288340027,0,0.011725435824388484
16,-650,0.011901996941428144,-0.0022464867614563986,0,0.01168806350189654
17,-650,0.01188078574354167,-0.0023797903470921984,0,0.011640002911847995
18.000000000000004,-650,0.011860371597256121,-0.0025130939327280225,0,0.011591064373485524
19,-650,0.01184090462775774,-0.002646397518363826,0,0.011541386510227115
20,-650,0.011810367117789372,-0.0027680204520560206,0,0.011481412553948231
21,-650,0.011796624019087204,-0.002909326394222308,0,0.011432242045180226
22,-650,0.011788882297908655,-0.0030492966630602213,0,0.011387692290125942
23,-650,0.011756950595356197,-0.0031860340563753357,0,0.011317025858999482
24,-650,0.011733261186677071,-0.003314640018560573,0,0.011255335606819522
25,-650,0.011713297889325161,-0.0034397430369560757,0,0.011196852918734866
26.000000000000004,-650,0.011694568998251893,-0.003564846055351593,0,0.011137989794236592
27,-650,0.01167712631104231,-0.0036899490737471036,0,0.011078788504037318
28,-650,0.01165461930632978,-0.0038132157244106547,0,0.011013152909797546
29,-650,0.011620532953554152,-0.003932729276827401,0,0.010934826315942224
