% Model,solenoidSplitCoil.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 7 2022, 14:27"
% Dimension,2
% Nodes,53341
% Expressions,1
% Description,Magnetic flux density norm
% Length unit,mm
% r,z,mf.normB (T)
2,-643,2.5121931900002974E-4
3,-643,2.5117609953337366E-4
4,-643,2.5111763821277644E-4
5,-643,2.510370326745518E-4
6,-643,2.5094450728742985E-4
7,-643,2.508267732318041E-4
8,-643,2.5070209283659974E-4
9.000000000000002,-643,2.50568213757097E-4
10,-643,2.5038881944321114E-4
11,-643,2.502202248731573E-4
12,-643,2.500408798822481E-4
13.000000000000002,-643,2.498056758368444E-4
14,-643,2.4955137611236546E-4
15,-643,2.4933961895039317E-4
16,-643,2.49288500515298E-4
17,-643,2.48929377392796E-4
18.000000000000004,-643,2.4857208251326046E-4
19,-643,2.482187721840371E-4
20,-643,2.4787118592672805E-4
21,-643,2.4753074513969987E-4
22,-643,2.4722265594318807E-4
23,-643,2.469639745722974E-4
24,-643,2.4634540238441753E-4
25,-643,2.463908552509236E-4
26.000000000000004,-643,2.458876678385766E-4
27,-643,2.4538806186944395E-4
28,-643,2.448933386812568E-4
29,-643,2.44404634202619E-4
30,-643,2.439229461847762E-4
31,-643,2.4344915614575257E-4
32,-643,2.4298404718357702E-4
33,-643,2.4252831853494388E-4
34,-643,2.421727011151553E-4
35,-643,2.4085553786904216E-4
36.00000000000001,-643,2.413716250193412E-4
37,-643,2.4074319944389526E-4
38,-643,2.401202808325511E-4
39,-643,2.395036273954419E-4
40,-643,2.3889393369197224E-4
0,-642,2.551516768233501E-4
1,-642,2.551315504644152E-4
2,-642,2.5510463896952386E-4
3,-642,2.5506165029981324E-4
4,-642,2.549993210807089E-4
5,-642,2.54914559016112E-4
6,-642,2.548239598547907E-4
7,-642,2.54708798807169E-4
8,-642,2.5457728148248557E-4
9.000000000000002,-642,2.544414629909156E-4
10,-642,2.542695962435812E-4
11,-642,2.5407874729218075E-4
12,-642,2.5392076909907304E-4
13.000000000000002,-642,2.5368521697613554E-4
14,-642,2.5345600683244937E-4
15,-642,2.5315452764209073E-4
16,-642,2.5311163301165555E-4
17,-642,2.527487343061487E-4
18.000000000000004,-642,2.5238789715856556E-4
19,-642,2.5203120383951216E-4
20,-642,2.5168033424561226E-4
21,-642,2.51336661156645E-4
22,-642,2.5100131949694625E-4
23,-642,2.506807072086878E-4
24,-642,2.500181385993094E-4
25,-642,2.501230985845814E-4
26.000000000000004,-642,2.496142448790513E-4
27,-642,2.491092169773698E-4
28,-642,2.4860926470212925E-4
29,-642,2.4811547919376765E-4
30,-642,2.4762881903647477E-4
31,-642,2.4715013131145614E-4
32,-642,2.46680168687235E-4
33,-642,2.46428783526649E-4
34,-642,2.460407493962968E-4
35,-642,2.455969563694745E-4
36.00000000000001,-642,2.449656662543729E-4
37,-642,2.443294921934733E-4
38,-642,2.436991255780177E-4
39,-642,2.4307528458477928E-4
40,-642,2.4245862741801902E-4
0,-641,2.5910180857649436E-4
1,-641,2.5908034743081244E-4
2,-641,2.590566033484843E-4
3,-641,2.590069355376893E-4
4,-641,2.5894526607781707E-4
5,-641,2.588647373236022E-4
6,-641,2.5875361021641035E-4
7,-641,2.586524621469292E-4
8,-641,2.5852498867846564E-4
9.000000000000002,-641,2.5837379142945436E-4
10,-641,2.5820010862410763E-4
11,-641,2.5803409910826085E-4
12,-641,2.5783303359297113E-4
13.000000000000002,-641,2.5759461720588047E-4
14,-641,2.573627423084763E-4
15,-641,2.5713914162730887E-4
16,-641,2.569669732199821E-4
17,-641,2.565983680149721E-4
18.000000000000004,-641,2.562322760602826E-4
19,-641,2.558926654673172E-4
20,-641,2.5556520966160093E-4
21,-641,2.552472407996583E-4
22,-641,2.549397839242642E-4
23,-641,2.546436959057731E-4
24,-641,2.5430170453008446E-4
25,-641,2.538272561115557E-4
26.000000000000004,-641,2.533583313059299E-4
27,-641,2.528962098369161E-4
28,-641,2.524420025303877E-4
29,-641,2.5199667998973427E-4
30,-641,2.515610955178962E-4
31,-641,2.5113600358545426E-4
32,-641,2.5072207481935074E-4
33,-641,2.5031990825060015E-4
34,-641,2.48630291938715E-4
35,-641,2.4942039507530204E-4
36.00000000000001,-641,2.487172761710884E-4
37,-641,2.480186968804775E-4
38,-641,2.47325782529742E-4
39,-641,2.4663956038081623E-4
40,-641,2.4605012537913046E-4
0,-640,2.6311730230824793E-4
1,-640,2.6309513143180015E-4
2,-640,2.6306777252617304E-4
3,-640,2.630220665976574E-4
4,-640,2.6295934837753895E-4
5,-640,2.628752817499251E-4
6,-640,2.627843931278851E-4
7,-640,2.626584209551201E-4
8,-640,2.6252566774398185E-4
9.000000000000002,-640,2.6238409186362906E-4
10,-640,2.622080679789511E-4
11,-640,2.6200208386245843E-4
12,-640,2.618273157073755E-4
13.000000000000002,-640,2.615956780239136E-4
14,-640,2.6137160469822193E-4
15,-640,2.6102834053408575E-4
16,-640,2.609171066188481E-4
17,-640,2.6057012798154177E-4
18.000000000000004,-640,2.602278228005706E-4
19,-640,2.598920554599999E-4
20,-640,2.5956433088088746E-4
21,-640,2.592458794574007E-4
22,-640,2.58937718811742E-4
23,-640,2.582440298242078E-4
24,-640,2.5788068385783504E-4
25,-640,2.5776161032246055E-4
26.000000000000004,-640,2.572907748067935E-4
27,-640,2.568267280247528E-4
28,-640,2.5637055376252126E-4
29,-640,2.559231989411953E-4
30,-640,2.554854959998437E-4
31,-640,2.5505818092995825E-4
32,-640,2.546419079128113E-4
33,-640,2.5323519639477483E-4
34,-640,2.526743862317329E-4
35,-640,2.521253446931488E-4
36.00000000000001,-640,2.525757585764795E-4
37,-640,2.518751429339483E-4
38,-640,2.511802000171355E-4
39,-640,2.504919338181987E-4
40,-640,2.498112641129491E-4
0,-639,2.6720029444181326E-4
1,-639,2.6717995331504576E-4
2,-639,2.6714882840912096E-4
3,-639,2.67105972968024E-4
4,-639,2.670471062006412E-4
5,-639,2.669559996615057E-4
6,-639,2.668528374129665E-4
7,-639,2.667450733847135E-4
8,-639,2.665984410496201E-4
9.000000000000002,-639,2.664305083475171E-4
10,-639,2.662712194326183E-4
11,-639,2.660796801963576E-4
12,-639,2.6589668402140067E-4
13.000000000000002,-639,2.656393816476185E-4
14,-639,2.653894353243987E-4
15,-639,2.651257486540167E-4
16,-639,2.648707938938942E-4
17,-639,2.646053416559009E-4
18.000000000000004,-639,2.6426112132120407E-4
19,-639,2.639234628681555E-4
20,-639,2.635938292928515E-4
21,-639,2.6327341671416964E-4
22,-639,2.627194080764223E-4
23,-639,2.6234711751207555E-4
24,-639,2.619855669850738E-4
25,-639,2.6173111604622224E-4
26.000000000000004,-639,2.6125693941033166E-4
27,-639,2.6078964535827733E-4
28,-639,2.6033027987885037E-4
29,-639,2.598797569536262E-4
30,-639,2.5943888014975496E-4
31,-639,2.5900836001804654E-4
32,-639,2.578812350282793E-4
33,-639,2.5731121080862954E-4
34,-639,2.567518170577815E-4
35,-639,2.562038814117469E-4
36.00000000000001,-639,2.564701317014781E-4
37,-639,2.5576637698762394E-4
38,-639,2.5506836101807265E-4
39,-639,2.5437706070288133E-4
40,-639,2.536933709648328E-4
0,-638,2.713530055232861E-4
1,-638,2.713334131909775E-4
2,-638,2.713019968569377E-4
3,-638,2.7125997951815895E-4
4,-638,2.7118917204728356E-4
5,-638,2.7110457015045813E-4
6,-638,2.710029141307666E-4
7,-638,2.7087924378610824E-4
8,-638,2.7074225569707926E-4
9.000000000000002,-638,2.706309768933549E-4
10,-638,2.704104390787909E-4
11,-638,2.7019422656280993E-4
12,-638,2.7000583323657894E-4
13.000000000000002,-638,2.697163802891745E-4
14,-638,2.69523032113806E-4
15,-638,2.6925856586722924E-4
16,-638,2.690027522152241E-4
17,-638,2.686764402590713E-4
18.000000000000004,-638,2.683282609810121E-4
19,-638,2.679868861243316E-4
20,-638,2.6765370513939443E-4
21,-638,2.6723824410658715E-4
22,-638,2.6685697502850633E-4
23,-638,2.6648519183034307E-4
24,-638,2.661239116164668E-4
25,-638,2.657357593738512E-4
26.000000000000004,-638,2.6525681482112394E-4
27,-638,2.6478495486754284E-4
28,-638,2.6432117693995003E-4
29,-638,2.638663528162297E-4
30,-638,2.6342124917663783E-4
31,-638,2.625701422860485E-4
32,-638,2.619911601439947E-4
33,-638,2.6142166643941083E-4
34,-638,2.6086256975224034E-4
35,-638,2.6031468903220894E-4
36.00000000000001,-638,2.604003488905625E-4
37,-638,2.59692358503438E-4
38,-638,2.589902308883151E-4
39,-638,2.5829491205040596E-4
40,-638,2.576072686408898E-4
0,-637,2.755760262406322E-4
1,-637,2.7555333672034355E-4
2,-637,2.755254845798762E-4
3,-637,2.7547757095703886E-4
4,-637,2.7540825676912874E-4
5,-637,2.7532257019306756E-4
6,-637,2.752189586499146E-4
7,-637,2.75096260588831E-4
8,-637,2.749435144710018E-4
9.000000000000002,-637,2.748041705015297E-4
10,-637,2.7461242166963636E-4
11,-637,2.743946972338519E-4
12,-637,2.742095277703104E-4
13.000000000000002,-637,2.740355003767046E-4
14,-637,2.737180605820605E-4
15,-637,2.7342678895568096E-4
16,-637,2.7316786411007396E-4
17,-637,2.7278341821316816E-4
18.000000000000004,-637,2.7242923853182887E-4
19,-637,2.720823239990212E-4
20,-637,2.718041411825122E-4
21,-637,2.714135425782218E-4
22,-637,2.7103118542382004E-4
23,-637,2.706582452686076E-4
24,-637,2.7029571342525365E-4
25,-637,2.6977552769090994E-4
26.000000000000004,-637,2.692903918469691E-4
27,-637,2.6881265050502116E-4
28,-637,2.683432417595402E-4
29,-637,2.6788298591454255E-4
30,-637,2.673040336910526E-4
31,-637,2.667161909335367E-4
32,-637,2.6613669626089723E-4
33,-637,2.65566545368453E-4
34,-637,2.650066314324954E-4
35,-637,2.644577593385681E-4
36.00000000000001,-637,2.639206575178733E-4
37,-637,2.6365305033966145E-4
38,-637,2.6294577808077456E-4
39,-637,2.622454616803872E-4
40,-637,2.615529360896808E-4
0,-636,2.798694521176306E-4
1,-636,2.7984579425496093E-4
2,-636,2.798173373462135E-4
3,-636,2.7976583852427683E-4
4,-636,2.796973682386903E-4
5,-636,2.7960832272380946E-4
6,-636,2.7951176621849764E-4
7,-636,2.7939124460751446E-4
8,-636,2.792274615568165E-4
9.000000000000002,-636,2.790832141571439E-4
10,-636,2.7887143057703185E-4
11,-636,2.7868044256730063E-4
12,-636,2.78461619079835E-4
13.000000000000002,-636,2.7822282156547554E-4
14,-636,2.7799138079604775E-4
15,-636,2.776772600142932E-4
16,-636,2.773697774118747E-4
17,-636,2.7711246411325E-4
18.000000000000004,-636,2.7656405115372387E-4
19,-636,2.7642164940834036E-4
20,-636,2.760209510699554E-4
21,-636,2.756272965926428E-4
22,-636,2.752420292651818E-4
23,-636,2.74866271181932E-4
24,-636,2.7450096877207136E-4
25,-636,2.7414692738659207E-4
26.000000000000004,-636,2.73357662329507E-4
27,-636,2.7287272708525237E-4
28,-636,2.7239647185295764E-4
29,-636,2.72085459840807E-4
30,-636,2.7148866669245934E-4
31,-636,2.708990912596778E-4
32,-636,2.7031782229923343E-4
33,-636,2.697458316170993E-4
34,-636,2.69183990877819E-4
35,-636,2.686330855123671E-4
36.00000000000001,-636,2.6809382628875813E-4
37,-636,2.6764841855000146E-4
38,-636,2.669349739578149E-4
39,-636,2.6622868604235793E-4
40,-636,2.655303546175081E-4
0,-635,2.842345536346693E-4
1,-635,2.842116896537343E-4
2,-635,2.841811019395756E-4
3,-635,2.84129358339421E-4
4,-635,2.840577815232647E-4
5,-635,2.8396980032596643E-4
6,-635,2.838655237636057E-4
7,-635,2.8373068111526E-4
8,-635,2.835864509976263E-4
9.000000000000002,-635,2.834316085560138E-4
10,-635,2.832269945582961E-4
11,-635,2.830080808640768E-4
12,-635,2.8280821796489137E-4
13.000000000000002,-635,2.825684370020829E-4
14,-635,2.822985934962624E-4
15,-635,2.819812124834948E-4
16,-635,2.817030184858392E-4
17,-635,2.814352799915614E-4
18.000000000000004,-635,2.812316513118588E-4
19,-635,2.8075620767087665E-4
20,-635,2.802782063304928E-4
21,-635,2.798794936467272E-4
22,-635,2.7948949754677646E-4
23,-635,2.791092637344714E-4
24,-635,2.7873967465788323E-4
25,-635,2.783814816386975E-4
26.000000000000004,-635,2.774586190789775E-4
27,-635,2.7696518022822563E-4
28,-635,2.7648086538892573E-4
29,-635,2.7631141664921253E-4
30,-635,2.757114696421476E-4
31,-635,2.751188191287873E-4
32,-635,2.745345192684647E-4
33,-635,2.73959511020018E-4
34,-635,2.7339463841708476E-4
35,-635,2.728406620346134E-4
36.00000000000001,-635,2.722982701928157E-4
37,-635,2.716784321940287E-4
38,-635,2.709577926144665E-4
39,-635,2.702445640520268E-4
40,-635,2.695395077378741E-4
0,-634,2.8867294181013673E-4
1,-634,2.8865093823591306E-4
2,-634,2.8861805573865954E-4
3,-634,2.8856911551005694E-4
4,-634,2.8849504247016404E-4
5,-634,2.8840244859189697E-4
6,-634,2.883110930305401E-4
7,-634,2.8816183763514294E-4
8,-634,2.8799356870340545E-4
9.000000000000002,-634,2.878417356204157E-4
10,-634,2.8764415777506795E-4
11,-634,2.874319163761812E-4
12,-634,2.8720650584813435E-4
13.000000000000002,-634,2.869739714841829E-4
14,-634,2.8667763628173145E-4
15,-634,2.863887631198777E-4
16,-634,2.861090947243395E-4
17,-634,2.857170229675649E-4
18.000000000000004,-634,2.856459612439768E-4
19,-634,2.851702213358107E-4
20,-634,2.846972569660634E-4
21,-634,2.8422938711002773E-4
22,-634,2.83773582192227E-4
23,-634,2.8338721784660503E-4
24,-634,2.830118286799499E-4
25,-634,2.826480959511719E-4
26.000000000000004,-634,2.815932558128739E-4
27,-634,2.8109000630625473E-4
28,-634,2.811878082335979E-4
29,-634,2.805769470073519E-4
30,-634,2.7997241546254693E-4
31,-634,2.793753526349469E-4
32,-634,2.7878677013483844E-4
33,-634,2.782075711065175E-4
34,-634,2.7763856582378797E-4
35,-634,2.7708048459429625E-4
36.00000000000001,-634,2.7653398849605663E-4
37,-634,2.759996783563977E-4
38,-634,2.7501421071191685E-4
39,-634,2.742930769373223E-4
40,-634,2.735803810301658E-4
0,-633,2.9318696966595156E-4
1,-633,2.93164700147691E-4
2,-633,2.931330899383193E-4
3,-633,2.9308577437298067E-4
4,-633,2.930081473840181E-4
5,-633,2.9291005567116235E-4
6,-633,2.928147547900648E-4
7,-633,2.9266582369043916E-4
8,-633,2.9250919130380606E-4
9.000000000000002,-633,2.9233560572887245E-4
10,-633,2.9214175181464547E-4
11,-633,2.919289117473886E-4
12,-633,2.9169447500759674E-4
13.000000000000002,-633,2.9143317371029307E-4
14,-633,2.9117765019525223E-4
15,-633,2.9083404518232236E-4
16,-633,2.9052514766559175E-4
17,-633,2.902110463178928E-4
18.000000000000004,-633,2.900982310376352E-4
19,-633,2.8962014302556425E-4
20,-633,2.8914483748636435E-4
21,-633,2.8867458992244905E-4
22,-633,2.8821128020021424E-4
23,-633,2.877564779369517E-4
24,-633,2.873115065184425E-4
25,-633,2.869467706910881E-4
26.000000000000004,-633,2.8576156709824677E-4
27,-633,2.861218365940717E-4
28,-633,2.854992148934543E-4
29,-633,2.8488202101603177E-4
30,-633,2.842714794380778E-4
31,-633,2.8366867196459063E-4
32,-633,2.8307455969704595E-4
33,-633,2.824900009893396E-4
34,-633,2.819157662178761E-4
35,-633,2.8135255000300214E-4
36.00000000000001,-633,2.808009813774202E-4
37,-633,2.8026163229009096E-4
38,-633,2.791042073206849E-4
39,-633,2.7837420809362443E-4
40,-633,2.776529620069808E-4
0,-632,2.977774842549973E-4
1,-632,2.977563726979394E-4
2,-632,2.977206168225976E-4
3,-632,2.9767154474668467E-4
4,-632,2.975944589636527E-4
5,-632,2.975023923331495E-4
6,-632,2.973843703086552E-4
7,-632,2.972387798735144E-4
8,-632,2.970993973170889E-4
9.000000000000002,-632,2.9690924880247974E-4
10,-632,2.9670438686941103E-4
11,-632,2.9648981437291463E-4
12,-632,2.962803858898673E-4
13.000000000000002,-632,2.959894011665193E-4
14,-632,2.95705665591153E-4
15,-632,2.953870578936466E-4
16,-632,2.9506115613195464E-4
17,-632,2.947444752540072E-4
18.000000000000004,-632,2.944384740250948E-4
19,-632,2.9410597052601374E-4
20,-632,2.9362648411644817E-4
21,-632,2.9315220010875663E-4
22,-632,2.9268493885476924E-4
23,-632,2.922262203566006E-4
24,-632,2.9186238506666035E-4
25,-632,2.914879455570508E-4
26.000000000000004,-632,2.9152913624959435E-4
27,-632,2.907573369322293E-4
28,-632,2.898516603869625E-4
29,-632,2.892266112624264E-4
30,-632,2.886086390734468E-4
31,-632,2.8799875926719813E-4
32,-632,2.873978744694635E-4
33,-632,2.8680679126044206E-4
34,-632,2.8622623397392644E-4
35,-632,2.8565685611520327E-4
36.00000000000001,-632,2.850992498607609E-4
37,-632,2.8455395400279717E-4
38,-632,2.83227763772907E-4
39,-632,2.8248794294762677E-4
40,-632,2.817572399895583E-4
0,-631,3.0244664423065905E-4
1,-631,3.02424840847247E-4
2,-631,3.0239160873805535E-4
3,-631,3.0233616279197386E-4
4,-631,3.022615849843232E-4
5,-631,3.021606127503787E-4
6,-631,3.020537243349843E-4
7,-631,3.019018861511473E-4
8,-631,3.017376942063523E-4
9.000000000000002,-631,3.015664145078136E-4
