% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:17"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,8.966964944669012E-4,-5.3174136702866766E-9,0,8.966964944511351E-4
1,-650,8.965043491389029E-4,-1.2082358617744669E-5,0,8.964229273257128E-4
2,-650,8.96316403900834E-4,-2.414478098697716E-5,0,8.959911413919301E-4
3,-650,8.95987424154417E-4,-3.620957303125552E-5,0,8.952554557576074E-4
4,-650,8.955354925944307E-4,-4.8243595474972614E-5,0,8.942350775897783E-4
5,-650,8.948665522939478E-4,-6.018974392457502E-5,0,8.928400423036317E-4
6,-650,8.941971110820873E-4,-7.219947658428132E-5,0,8.912775712697513E-4
7,-650,8.932980411258722E-4,-8.415780488119312E-5,0,8.893249429521807E-4
8,-650,8.922785310331492E-4,-9.606906211753947E-5,0,8.870917158031242E-4
9.000000000000002,-650,8.912475317664544E-4,-1.0776735886874807E-4,0,8.847080644157437E-4
10,-650,8.898672949432517E-4,-1.1935254757542902E-4,0,8.818269512760852E-4
11,-650,8.885838379645504E-4,-1.3110345411280176E-4,0,8.788589883545043E-4
12,-650,8.868952734783713E-4,-1.4302354509669406E-4,0,8.752870909971476E-4
13.000000000000002,-650,8.850784810076477E-4,-1.5456594271832274E-4,0,8.714776456653385E-4
14,-650,8.835350033058846E-4,-1.6578632445503078E-4,0,8.678415734973872E-4
15,-650,8.821042569286124E-4,-1.7700670619173818E-4,0,8.641623377900307E-4
16,-650,8.80638483067844E-4,-1.8813632916462697E-4,0,8.603074215119224E-4
17,-650,8.780625322753392E-4,-1.9883592835086273E-4,0,8.552532281041865E-4
18.000000000000004,-650,8.755522044200436E-4,-2.0953552753709827E-4,0,8.501097137220276E-4
19,-650,8.731232913869016E-4,-2.2023512672333402E-4,0,8.448909816771944E-4
20,-650,8.695036773743274E-4,-2.2978435324701738E-4,0,8.385915549123592E-4
21,-650,8.675111209324831E-4,-2.4125310720625633E-4,0,8.332901554709859E-4
22,-650,8.666563157251707E-4,-2.5273826194426854E-4,0,8.289852474777323E-4
23,-650,8.627798451314062E-4,-2.6349774981018195E-4,0,8.215582736543672E-4
24,-650,8.594834608340869E-4,-2.737654710836013E-4,0,8.147173045233011E-4
25,-650,8.569158490790841E-4,-2.833734040193004E-4,0,8.087053148690456E-4
26.000000000000004,-650,8.544589673789733E-4,-2.929813369549984E-4,0,8.026593693033196E-4
27,-650,8.521180232956845E-4,-3.0258926989069814E-4,0,7.965832407051751E-4
28,-650,8.488515408064069E-4,-3.118405480234427E-4,0,7.894963020419095E-4
29,-650,8.448857322973091E-4,-3.2066977585388585E-4,0,7.816666779986076E-4
30,-650,8.410002580674916E-4,-3.294990036843294E-4,0,7.737647191754233E-4
31,-650,8.372046879154306E-4,-3.383282315147726E-4,0,7.657974257123485E-4
32,-650,8.335076921762224E-4,-3.471574593452151E-4,0,7.577709227318686E-4
33,-650,8.299171684904005E-4,-3.559866871756588E-4,0,7.496905929173871E-4
34,-650,8.27833727436515E-4,-3.6178459876179576E-4,0,7.445942414363683E-4
35,-650,8.225782279577196E-4,-3.7258857497643656E-4,0,7.333571400805275E-4
36.00000000000001,-650,8.185829881580553E-4,-3.800350431872365E-4,0,7.250182580124766E-4
37,-650,8.146855833804439E-4,-3.8748151139803764E-4,0,7.166384570288051E-4
38,-650,8.108915143124998E-4,-3.949279796088381E-4,0,7.082209675702211E-4
39,-650,8.072059303630673E-4,-4.0237444781963906E-4,0,6.997686887501794E-4
40,-650,8.03633666259584E-4,-4.0982091603044006E-4,0,6.912842297707878E-4
0,-649,9.211606711421844E-4,-6.625583493639521E-9,0,9.211606711183567E-4
1,-649,9.209607201674494E-4,-1.2385788511889908E-5,0,9.20877429593258E-4
2,-649,9.207648304051458E-4,-2.4748887402293793E-5,0,9.204321623473212E-4
3,-649,9.203563048363065E-4,-3.7127217051383837E-5,0,9.196071430811962E-4
4,-649,9.19944810652312E-4,-4.9434496931318036E-5,0,9.18615635159377E-4
5,-649,9.192486559368116E-4,-6.174279016462577E-5,0,9.171727859592878E-4
6,-649,9.185482329310662E-4,-7.398894529606851E-5,0,9.155634834323394E-4
7,-649,9.175743094287856E-4,-8.623698029965976E-5,0,9.13512888005697E-4
8,-649,9.165525802757307E-4,-9.834727710389076E-5,0,9.1126090967206E-4
9.000000000000002,-649,9.152899294914651E-4,-1.1041097498690662E-4,0,9.086061146783747E-4
10,-649,9.139942174989415E-4,-1.225158894568329E-4,0,9.057457073881739E-4
11,-649,9.127757419188176E-4,-1.3441284611795368E-4,0,9.028248677533862E-4
12,-649,9.11171953709288E-4,-1.465176608918363E-4,0,8.993146858987602E-4
13.000000000000002,-649,9.09225834296695E-4,-1.5848103887726125E-4,0,8.95307420983935E-4
14,-649,9.072060395706974E-4,-1.7035888068557005E-4,0,8.910671411319741E-4
15,-649,9.057237267568691E-4,-1.81579262422278E-4,0,8.873355851472053E-4
16,-649,9.036624588178994E-4,-1.92576804661234E-4,0,8.829043061302174E-4
17,-649,9.010096719277274E-4,-2.032764038474692E-4,0,8.777796605903736E-4
18.000000000000004,-649,8.984265586725483E-4,-2.139760030337055E-4,0,8.72573522090785E-4
19,-649,8.956436685694871E-4,-2.247875277850721E-4,0,8.669764405108623E-4
20,-649,8.935118565860274E-4,-2.362562817443104E-4,0,8.617113247463809E-4
21,-649,8.915103968823352E-4,-2.477250357035492E-4,0,8.564012461661731E-4
22,-649,8.899175624244403E-4,-2.5905859142267835E-4,0,8.513764820110756E-4
23,-649,8.859957998422329E-4,-2.698180792885909E-4,0,8.439115838919937E-4
