% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:15"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,0.0010674958267462723,-6.330254369405408E-9,0,0.0010674958267275032
1,-650,0.0010672670823081802,-1.4383760259219051E-5,0,0.001067170151578192
2,-650,0.001067043337977146,-2.874378688925874E-5,0,0.0010666561207046414
3,-650,0.0010666516954218846,-4.3106634561017126E-5,0,0.0010657803044733017
4,-650,0.0010661136816600002,-5.743285175591889E-5,0,0.0010645655685592235
5,-650,0.0010653173241594231,-7.165445705306498E-5,0,0.0010629048122661898
6,-650,0.0010645203703357794,-8.595175783843102E-5,0,0.001061044727702046
7,-650,0.0010634500489593325,-1.0018786295380602E-4,0,0.0010587201701811278
8,-650,0.0010622363464679986,-1.1436793109230719E-4,0,0.0010560615664322547
9.000000000000002,-650,0.0010610089663885955,-1.2829447484374862E-4,0,0.0010532238862091775
10,-650,0.0010593658273133552,-1.420863661612232E-4,0,0.0010497939896143473
11,-650,0.0010578379023387127,-1.5607554061047944E-4,0,0.0010462607004219906
12,-650,0.001055827706521833,-1.702661251151117E-4,0,0.001042008441663233
13.000000000000002,-650,0.001053664858342401,-1.8400707466466895E-4,0,0.0010374733876967945
14,-650,0.0010518273848879216,-1.9736467197027467E-4,0,0.0010331447303539953
15,-650,0.001050124115391169,-2.1072226927587893E-4,0,0.0010287646878452375
16,-650,0.0010483791465093026,-2.2397182043407994E-4,0,0.0010241755017998712
17,-650,0.001045312538422987,-2.36709438512932E-4,0,0.0010181586048858995
18.000000000000004,-650,0.0010423240528809683,-2.4944705659178386E-4,0,0.0010120353734785672
19,-650,0.0010394324897462755,-2.621846746706356E-4,0,0.0010058225972347182
20,-650,0.0010351234254455909,-2.735528014845422E-4,0,9.983232796575328E-4
21,-650,0.0010327513344433944,-2.872060800074457E-4,0,9.92012089846373E-4
22,-650,0.0010317337091965953,-3.0087888326698394E-4,0,9.868871993782154E-4
23,-650,0.001027118863251637,-3.136877973930717E-4,0,9.780455638742085E-4
24,-650,0.0010231945962310186,-3.259112750995238E-4,0,9.699015530038912E-4
25,-650,0.0010201379155703018,-3.373492904991649E-4,0,9.627444224631116E-4
26.000000000000004,-650,0.0010172130564035037,-3.487873058988062E-4,0,9.555468682182E-4
27,-650,0.001014426218209113,-3.602253212984482E-4,0,9.483133817918382E-4
28,-650,0.0010105375485790187,-3.712387476469531E-4,0,9.398765500498534E-4
29,-650,0.0010058163479729509,-3.8174973315938533E-4,0,9.305555690459235E-4
30,-650,0.0010011907834136446,-3.9226071867181814E-4,0,9.211484752087995E-4
31,-650,9.96672247518335E-4,-4.027717041842502E-4,0,9.116636020384734E-4
32,-650,9.92271062114517E-4,-4.1328268969668285E-4,0,9.021082413474266E-4
33,-650,9.879966291552055E-4,-4.2379367520911594E-4,0,8.924888010920916E-4
34,-650,9.855163421862918E-4,-4.306959509068984E-4,0,8.864217159956375E-4
35,-650,9.792597951877261E-4,-4.435578273528963E-4,0,8.730442143815428E-4
36.00000000000001,-650,9.745035573309844E-4,-4.524226704609931E-4,0,8.631169738243402E-4
37,-650,9.698637897385906E-4,-4.6128751356908884E-4,0,8.531410202723514E-4
38,-650,9.653470408481819E-4,-4.7015235667718594E-4,0,8.431201994883229E-4
39,-650,9.609594409083819E-4,-4.7901719978528194E-4,0,8.33057962797798E-4
40,-650,9.567067455470944E-4,-4.8788204289337855E-4,0,8.229574163937624E-4
0,-649,0.0010966198465978004,-7.887599397176706E-9,0,0.0010966198465694342
1,-649,0.0010963818097231167,-1.4744986323677863E-5,0,0.0010962826542776508
2,-649,0.0010961486076251348,-2.9462961193206256E-5,0,0.0010957525742229628
3,-649,0.0010956622676622286,-4.419906791831304E-5,0,0.0010947704084299545
4,-649,0.0010951723936336684,-5.8850591584902316E-5,0,0.0010935900418563647
5,-649,0.0010943436380199765,-7.350332162455445E-5,0,0.00109187236423721
6,-649,0.0010935098011083753,-8.80820777334132E-5,0,0.0010899565278956053
7,-649,0.0010923503683675636,-1.0266307178530921E-4,0,0.0010875153428638864
8,-649,0.0010911340241377353,-1.1708009179034462E-4,0,0.0010848344162762225
9.000000000000002,-649,0.0010896308684421833,-1.314416368891741E-4,0,0.0010816739460456468
10,-649,0.001088088354165367,-1.4585224935337218E-4,0,0.0010782686992715958
11,-649,0.0010866377879985537,-1.600152929975634E-4,0,0.0010747915092301826
12,-649,0.0010847285163205433,-1.7442578677599543E-4,0,0.0010706127213080097
13.000000000000002,-649,0.0010824117074960287,-1.8866790342531145E-4,0,0.0010658421678379805
14,-649,0.0010800071899650795,-2.0280819129234466E-4,0,0.0010607942156332655
15,-649,0.00107824253185338,-2.161657885979499E-4,0,0.0010563518870799699
16,-649,0.0010757886414498438,-2.2925810078718327E-4,0,0.0010510765549168882
17,-649,0.0010726305618186875,-2.4199571886603533E-4,0,0.0010449757864170748
18.000000000000004,-649,0.001069555426991093,-2.5473333694488805E-4,0,0.0010387780024889925
19,-649,0.0010662424625826853,-2.6760419974413124E-4,0,0.001032114810131941
20,-649,0.0010637045911738047,-2.812574782670342E-4,0,0.0010258468151742245
21,-649,0.0010613219010503607,-2.9491075678993715E-4,0,0.0010195252930549287
22,-649,0.001059425669552869,-3.0840308502699636E-4,0,0.0010135434309655289
23,-649,0.0010547569045740496,-3.2121199915308304E-4,0,0.0010046566474904302
24,-649,0.0010501720051371564,-3.3402091327917036E-4,0,9.956361131788784E-4
25,-649,0.0010466197714371563,-3.457955203581126E-4,0,9.878453340798992E-4
26.000000000000004,-649,0.0010436081840610137,-3.572335357577539E-4,0,9.80562207495853E-4
27,-649,0.0010407368915341985,-3.686715511573963E-4,0,9.732494874221437E-4
28,-649,0.0010358214957840982,-3.7950989041080194E-4,0,9.637937612418893E-4
29,-649,0.001030991755835918,-3.9002087592323437E-4,0,9.543729443701251E-4
30,-649,0.0010262602668302358,-4.005318614356664E-4,0,9.448726703896917E-4
31,-649,0.001021637650084631,-4.1104284694809924E-4,0,9.353006286982002E-4
32,-649,0.0010147560684011102,-4.191294650939901E-4,0,9.241538669761136E-4
33,-649,0.001010603463815542,-4.305420175819861E-4,0,9.143046167292411E-4
34,-649,0.0010109283325963015,-4.420259302602165E-4,0,9.091694949917362E-4
35,-649,0.0010046067651578849,-4.519395639450371E-4,0,8.972097765529304E-4
36.00000000000001,-649,9.986976807130872E-4,-4.6335860385255377E-4,0,8.847010012979028E-4
37,-649,9.939600903583331E-4,-4.7222344696064885E-4,0,8.7462087636058E-4
38,-649,9.89347540657891E-4,-4.81088290068746E-4,0,8.645013668957081E-4
39,-649,9.848656305921084E-4,-4.899531331768423E-4,0,8.54345502482331E-4
40,-649,9.805196286907466E-4,-4.988179762849378E-4,0,8.441560097415873E-4
0,-648,0.0011264752000636983,-9.220261041736946E-9,0,0.0011264752000259642
1,-648,0.0011262310424235873,-1.5116037474742645E-5,0,0.0011261295957080528
2,-648,0.0011259723531191737,-3.020502268253559E-5,0,0.0011255671444180826
3,-648,0.0011255246757598527,-4.52788755320035E-5,0,0.0011246135421445354
4,-648,0.0011248293934845723,-6.030824729145838E-5,0,0.001123211502681264
5,-648,0.0011240670762878136,-7.541420438516749E-5,0,0.0011215344353925052
6,-648,0.0011232394663087473,-9.030734108302031E-5,0,0.001119603270279287
7,-648,0.0011219518123501456,-1.0508829856533384E-4,0,0.0011170193904943726
8,-648,0.0011208669232976528,-1.2005117717052026E-4,0,0.0011144192992777534
9.000000000000002,-648,0.0011192135184711393,-1.3493554074808854E-4,0,0.0011110496387522783
10,-648,0.0011173004909038552,-1.4979200174045732E-4,0,0.0011072139554704785
11,-648,0.0011164131951300529,-1.643433317875651E-4,0,0.0011042507376304784
12,-648,0.0011139717049987914,-1.7858544843688017E-4,0,0.0010995636394245277
13.000000000000002,-648,0.0011116095396375106,-1.9282756508619508E-4,0,0.0010947571871223534
14,-648,0.001109353883549882,-2.070696817355112E-4,0,0.0010898569566017181
15,-648,0.0011067165335695785,-2.2160930792002086E-4,0,0.0010843019876028417
16,-648,0.0011035212779042832,-2.345443811402879E-4,0,0.0010783080005559737
17,-648,0.0011007686583756904,-2.480023194808181E-4,0,0.0010724674768002765
18.000000000000004,-648,0.0010979302773104606,-2.6165559800372083E-4,0,0.0010662960385691865
19,-648,0.0010952224263953661,-2.753088765266233E-4,0,0.0010600552748724953
20,-648,0.0010926572925575133,-2.889621550495265E-4,0,0.001053755584530041
21,-648,0.0010902449919589184,-3.026154335724296E-4,0,0.0010474053856340784
22,-648,0.0010874451807471764,-3.159272867870079E-4,0,0.0010405416717237511
23,-648,0.0010827074703021692,-3.287362009130948E-4,0,0.001031594870313607
24,-648,0.0010780532567938566,-3.415451150391818E-4,0,0.0010225193195615978
25,-648,0.00107350147562883,-3.543540291652685E-4,0,0.0010133304693887458
26.000000000000004,-648,0.0010703089894344888,-3.656797656167014E-4,0,0.0010059024017680797
27,-648,0.0010673410459048095,-3.771177810163429E-4,0,9.98498416380558E-4
28,-648,0.0010613815136984348,-3.8778103317464957E-4,0,9.880063703897775E-4
29,-648,0.0010564331014886784,-3.9829201868708363E-4,0,9.784755315137706E-4
30,-648,0.0010515863986279015,-4.08803004199515E-4,0,9.688725703293758E-4
31,-648,0.0010463592553083007,-4.192526167091117E-4,0,9.586943905916547E-4
32,-648,0.0010420068610225881,-4.3066516919710836E-4,0,9.488444606249083E-4
33,-648,0.0010378046818143888,-4.420777216851042E-4,0,9.38938680418254E-4
34,-648,0.0010366400492484145,-4.5335590961353414E-4,0,9.322505086747018E-4
35,-648,0.0010302342980240754,-4.6326954329835475E-4,0,9.201978260555135E-4
36.00000000000001,-648,0.0010239334419252278,-4.7318317698317493E-4,0,9.080404035685599E-4
37,-648,0.0010183169007131035,-4.831593803522095E-4,0,8.963962982161458E-4
38,-648,0.0010136003532495933,-4.920242234603058E-4,0,8.861703220239231E-4
39,-648,0.0010090164667396994,-5.008890665684025E-4,0,8.759134507153668E-4
40,-648,0.0010045700001892032,-5.09753909676499E-4,0,8.656280014242028E-4
0,-647,0.0011570903629408286,-1.1095413155505226E-8,0,0.0011570903628876313
1,-647,0.001156837919703205,-1.5500322528729683E-5,0,0.0011567340716278503
2,-647,0.0011565788707987063,-3.0979765128900914E-5,0,0.0011561638891310214
3,-647,0.0011561196959276206,-4.645315525976003E-5,0,0.0011551860697213182
4,-647,0.0011554786942188106,-6.190471821070596E-5,0,0.0011538192313602946
5,-647,0.0011545482868696511,-7.715482578236777E-5,0,0.001151967395186226
6,-647,0.0011535028143746552,-9.262531523986659E-5,0,0.0011497779323621435
7,-647,0.0011523687730335638,-1.0791750097531496E-4,0,0.00114730449404076
8,-647,0.0011511508613428342,-1.230734393638907E-4,0,0.0011445528533420776
9.000000000000002,-647,0.00114947012422552,-1.3812015876575026E-4,0,0.0011411417038341715
10,-647,0.0011479851541097606,-1.5334583698518693E-4,0,0.0011376972217315656
11,-647,0.0011461894329591817,-1.6776015430781206E-4,0,0.00113384599785593
12,-647,0.0011437334923310215,-1.8290580388089146E-4,0,0.0011290136263067863
13.000000000000002,-647,0.0011413779649836696,-1.980514534539702E-4,0,0.0011240637351747598
14,-647,0.001139149743614544,-2.1319710302705047E-4,0,0.0011190215072276112
15,-647,0.0011370688962019397,-2.2834275260012835E-4,0,0.0011139054098283634
16,-647,0.0011332496542472102,-2.420537177404078E-4,0,0.0011070974557731892
17,-647,0.0011302413728819074,-2.5570699626330966E-4,0,0.0011009357351980064
18.000000000000004,-647,0.0011273519937466544,-2.69360274786212E-4,0,0.0010946997580029206
19,-647,0.0011245950159953525,-2.8301355330911536E-4,0,0.0010884012489173907
20,-647,0.0011219815147341125,-2.966668318320183E-4,0,0.0010820495877249833
21,-647,0.0011195206951099099,-3.103201103549214E-4,0,0.0010756523675838237
22,-647,0.001115792392892307,-3.2345148854701934E-4,0,0.0010678819216528848
23,-647,0.001110970769212639,-3.3626040267310624E-4,0,0.001058860232343742
24,-647,0.0011062337640409508,-3.4906931679919276E-4,0,0.0010497160343509834
25,-647,0.0011015994049884373,-3.6187823092528025E-4,0,0.0010404640287166437
26.000000000000004,-647,0.0010970834117967744,-3.7468714505136703E-4,0,0.0010311166547839806
27,-647,0.0010942389298195772,-3.855640108752908E-4,0,0.0010240601686670819
28,-647,0.001087217867171388,-3.9605217593849883E-4,0,0.001012514377493516
29,-647,0.0010832432899993642,-4.079632158362381E-4,0,0.0010034849474970721
30,-647,0.0010785549054996547,-4.1937576832423414E-4,0,9.936823683249227E-4
31,-647,0.0010739995434415883,-4.3078832081223017E-4,0,9.83817280781609E-4
32,-647,0.0010695859689481598,-4.4220087330022577E-4,0,9.738955450269253E-4
33,-647,0.0010653221867129162,-4.53613425788222E-4,0,9.639223108982708E-4
34,-647,0.0010626514495646708,-4.646858889668522E-4,0,9.556647570445309E-4
35,-647,0.0010561510554439018,-4.745995226516724E-4,0,9.435095892539049E-4
36.00000000000001,-647,0.0010497569111618797,-4.8451315633649345E-4,0,9.312553752161538E-4
37,-647,0.0010434815314973238,-4.944267900213149E-4,0,9.189101457080659E-4
38,-647,0.0010381058160588697,-5.029601568518659E-4,0,9.081270648729715E-4
39,-647,0.0010334123540891738,-5.118249999599635E-4,0,8.977618074969059E-4
40,-647,0.0010288583228573384,-5.206898430680576E-4,0,8.873733914416056E-4
0,-646,0.001188489985688655,-1.3024525452492627E-8,0,0.001188489985617288
1,-646,0.0011882288533291358,-1.5901473074621024E-5,0,0.0011881224478301595
2,-646,0.001187955475805081,-3.1779704884795744E-5,0,0.0011875303208140463
3,-646,0.0011874230202001735,-4.7637632142554995E-5,0,0.0011864670601854702
4,-646,0.0011868234150657143,-6.3471917848292E-5,0,0.0011851249445492674
5,-646,0.001185844586651068,-7.929704508802845E-5,0,0.0011831903322500354
6,-646,0.001184824826631655,-9.498936857346414E-5,0,0.001181010960855464
7,-646,0.0011834767128372106,-1.1058749775218478E-4,0,0.0011782985764095958
8,-646,0.0011821130959895033,-1.2622249611046456E-4,0,0.001175354947743673
9.000000000000002,-646,0.0011804378838511079,-1.4163895224769224E-4,0,0.0011719095548876873
10,-646,0.0011785708455328136,-1.5698623355569715E-4,0,0.0011680687310316662
11,-646,0.001177126938800716,-1.7229830408416977E-4,0,0.0011644488500831898
12,-646,0.001174642669088475,-1.8744395365724917E-4,0,0.0011595905157772875
13.000000000000002,-646,0.00117225713411645,-2.0258960323032814E-4,0,0.0011546186561587732
14,-646,0.0011699962870101877,-2.177352528034071E-4,0,0.0011495575980803494
15,-646,0.0011661071576460264,-2.3181420448118578E-4,0,0.0011428333551809073
16,-646,0.0011646928660080194,-2.473855343943709E-4,0,0.0011381168083735454
17,-646,0.0011601564653993704,-2.634116730458018E-4,0,0.0011298572098770588
