% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:28"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,0.003405953033815577,-1.689164833911627E-8,0,0.00340595303377369
1,-650,0.0034052954417692557,-4.43019974416673E-5,0,0.0034050072509110973
2,-650,0.0034046945844223415,-8.856988377965464E-5,0,0.003403542358908154
3,-650,0.0034037227426597064,-1.327904119551662E-4,0,0.0034011314610569955
4,-650,0.0034019836749732578,-1.766921858117553E-4,0,0.0033973920580730177
5,-650,0.003400021754965,-2.213254994840358E-4,0,0.0033928104806359907
6,-650,0.0033980346878647776,-2.650718290923104E-4,0,0.003387680130318377
7,-650,0.0033952101166516025,-3.0878748647918033E-4,0,0.0033811391607574005
8,-650,0.0033915695696783003,-3.527471119909248E-4,0,0.003373175598890445
9.000000000000002,-650,0.003388468948527775,-3.9599235792999767E-4,0,0.00336525063964008
10,-650,0.003384747534310653,-4.3884808452419573E-4,0,0.0033561776218983836
11,-650,0.0033796361507240622,-4.813249446963578E-4,0,0.0033451856165082985
12,-650,0.0033753461301785593,-5.247370610947395E-4,0,0.00333430840133678
13.000000000000002,-650,0.0033690907697588477,-5.67037393906596E-4,0,0.00332103014270962
14,-650,0.0033636062686007925,-6.08945600704636E-4,0,0.0033080254511646395
15,-650,0.0033584978188455706,-6.508538075026728E-4,0,0.0032948288150448316
16,-650,0.003353804618170162,-6.927620143007108E-4,0,0.003281476223957981
17,-650,0.0033470440707947255,-7.336092546069745E-4,0,0.003265657892890363
18.000000000000004,-650,0.003338921273866125,-7.742812838823939E-4,0,0.0032479045193024407
19,-650,0.003331106045274351,-8.149533131578134E-4,0,0.0032298790352328103
20,-650,0.0033236444229040934,-8.556253424332322E-4,0,0.003211622257253723
21,-650,0.003308180116750322,-8.890043563109414E-4,0,0.0031864913210806556
22,-650,0.0033109526100065967,-9.311878481061825E-4,0,0.0031773096130608474
23,-650,0.003298094292220751,-9.715135753264551E-4,0,0.003151759402831299
24,-650,0.0032867163408853485,-0.0010134008044896097,0,0.0031265832972915634
25,-650,0.0032782808345131866,-0.0010499034493060759,0,0.00310561233528457
26.000000000000004,-650,0.0032702409870256598,-0.0010864060941225442,0,0.003084509347023601
27,-650,0.0032626160586753127,-0.0011229087389390121,0,0.003063289002092429
28,-650,0.0032544158041140233,-0.0011592624057960872,0,0.003040942765093581
29,-650,0.0032408896789154905,-0.001193143984130384,0,0.0030132662252171523
30,-650,0.003227641736656186,-0.0012270255624646817,0,0.002985310611856527
31,-650,0.0032147075401797822,-0.0012609071407989774,0,0.0029571029321230763
32,-650,0.0032021191660513014,-0.001294788719133274,0,0.0029286668172392536
33,-650,0.00318990569724518,-0.0013286702974675748,0,0.0029000230340369164
34,-650,0.0031780936253775643,-0.0013625518758018686,0,0.0028711899061912155
35,-650,0.00316653508052571,-0.0013924701935994696,0,0.002843935860060318
36.00000000000001,-650,0.0031533256466664307,-0.001422071585289975,0,0.0028144582143345316
