% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:29"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,7.502337074421839E-4,-1.7335805395062677E-9,0,7.502337074401811E-4
1,-650,7.50167790382582E-4,-5.74101802018384E-6,0,7.501458221169917E-4
2,-650,7.500941341307026E-4,-1.147700204219535E-5,0,7.50006325627599E-4
3,-650,7.499649037805591E-4,-1.7212657875846095E-5,0,7.49767351457392E-4
4,-650,7.498036741752891E-4,-2.294359058398535E-5,0,7.494525611790766E-4
5,-650,7.495572691458398E-4,-2.8687958155847434E-5,0,7.490080779178668E-4
6,-650,7.492808579187059E-4,-3.441746190457255E-5,0,7.484899747888672E-4
7,-650,7.489701733850075E-4,-4.013690271464622E-5,0,7.478939427892455E-4
8,-650,7.485560227818806E-4,-4.58191622003919E-5,0,7.471524098992665E-4
9.000000000000002,-650,7.4816270048721E-4,-5.154554901392206E-5,0,7.463849427588743E-4
10,-650,7.477504862182072E-4,-5.729437506261299E-5,0,7.455522411110773E-4
11,-650,7.471656967037835E-4,-6.303159558206237E-5,0,7.445022473365876E-4
12,-650,7.465915359603955E-4,-6.874968956848879E-5,0,7.434193982887043E-4
13.000000000000002,-650,7.46178215482558E-4,-7.429378955113667E-5,0,7.424704452669252E-4
14,-650,7.453543890763019E-4,-7.985408015791236E-5,0,7.410644312051693E-4
15,-650,7.445419425147181E-4,-8.541437076468811E-5,0,7.396263174268896E-4
16,-650,7.437470727980769E-4,-9.09746613714642E-5,0,7.381621226289353E-4
17,-650,7.429745540540437E-4,-9.653495197823898E-5,0,7.366764493441909E-4
18.000000000000004,-650,7.415491126319611E-4,-1.0228632393976167E-4,0,7.344607507417528E-4
19,-650,7.411760704094476E-4,-1.0758862003424697E-4,0,7.333257503911319E-4
20,-650,7.402684086371446E-4,-1.1325812857482232E-4,0,7.315530829255656E-4
21,-650,7.393880660578302E-4,-1.1892763711539712E-4,0,7.297608713536831E-4
22,-650,7.385379095535229E-4,-1.2459714565597285E-4,0,7.279517807808921E-4
23,-650,7.377203346741138E-4,-1.302666541965483E-4,0,7.261280128160071E-4
24,-650,7.364157888907199E-4,-1.3591654697792154E-4,0,7.237643997773998E-4
25,-650,7.350509713126417E-4,-1.4156754993105316E-4,0,7.212895113851141E-4
26.000000000000004,-650,7.3392718105719E-4,-1.4685528065381745E-4,0,7.190845803093275E-4
27,-650,7.32772062310898E-4,-1.5220023378025792E-4,0,7.167914509399519E-4
28,-650,7.316445869618786E-4,-1.5754518690669616E-4,0,7.144811514050962E-4
29,-650,7.305467774056352E-4,-1.6289014003313586E-4,0,7.121554579287755E-4
30,-650,7.285823426907665E-4,-1.677963237507505E-4,0,7.089969138272033E-4
31,-650,7.274027011888352E-4,-1.7330616428162007E-4,0,7.064557049941674E-4
32,-650,7.262576290523143E-4,-1.7881600481248932E-4,0,7.038998367520685E-4
33,-650,7.25370583117866E-4,-1.8424262463507353E-4,0,7.015818826910601E-4
34,-650,7.238506686472615E-4,-1.8935376964691447E-4,0,6.986450747136137E-4
35,-650,7.223550076896501E-4,-1.9446491465875557E-4,0,6.956868218538263E-4
36.00000000000001,-650,7.20885732435498E-4,-1.9957605967059645E-4,0,6.927089111852271E-4
37,-650,7.194447766523287E-4,-2.0468720468243723E-4,0,6.897129365842061E-4
38,-650,7.18033900817439E-4,-2.097983496942778E-4,0,6.867003241506919E-4
39,-650,7.166547133404515E-4,-2.149094947061188E-4,0,6.836723537179527E-4
40,-650,7.153086885603921E-4,-2.2002063971795848E-4,0,6.806301771359307E-4
0,-649,7.618085453029549E-4,-2.0811887640006336E-9,0,7.618085453001121E-4
1,-649,7.61742940215519E-4,-5.835801343281703E-6,0,7.617205855107668E-4
2,-649,7.616709026473898E-4,-1.1667455426032317E-5,0,7.615815349807077E-4
3,-649,7.615460865909054E-4,-1.7501406505066053E-5,0,7.613449564896765E-4
4,-649,7.613670247280356E-4,-2.3332292233430637E-5,0,7.61009428642218E-4
5,-649,7.611249257321709E-4,-2.915014061647596E-5,0,7.605665137730179E-4
6,-649,7.60862031326154E-4,-3.497139947633392E-5,0,7.60057913538454E-4
7,-649,7.605031987235355E-4,-4.075726939714889E-5,0,7.594102713685255E-4
8,-649,7.601387594328464E-4,-4.663904310798464E-5,0,7.587066186939971E-4
9.000000000000002,-649,7.59723045524875E-4,-5.244684433939478E-5,0,7.579105715191145E-4
10,-649,7.592974312601125E-4,-5.819571008489747E-5,0,7.57063965887903E-4
11,-649,7.587090488084902E-4,-6.393293060434739E-5,0,7.560105826826921E-4
12,-649,7.58139474789849E-4,-6.967015112379748E-5,0,7.54931475881762E-4
13.000000000000002,-649,7.575586592253557E-4,-7.546381596410502E-5,0,7.537906437781344E-4
14,-649,7.567551724691631E-4,-8.107055599242737E-5,0,7.524001302564424E-4
15,-649,7.560627409076169E-4,-8.68639412592001E-5,0,7.510562721245702E-4
16,-649,7.553977664583384E-4,-9.265732652597542E-5,0,7.496935409961227E-4
17,-649,7.547637259939669E-4,-9.845071179274987E-5,0,7.483152673999087E-4
18.000000000000004,-649,7.533537951864455E-4,-1.0406665315504236E-4,0,7.461314042599527E-4
19,-649,7.527517809735236E-4,-1.0971212124553643E-4,0,7.447136994917015E-4
20,-649,7.518448391826892E-4,-1.1538162978611243E-4,0,7.429385854251644E-4
21,-649,7.509647424350524E-4,-1.2105113832668778E-4,0,7.411441602619274E-4
