% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:18"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,1.896774998795811E-4,-4.374936946879721E-10,0,1.8967749987907655E-4
1,-650,1.8966069430537328E-4,-1.4404730933895502E-6,0,1.8965522402945688E-4
2,-650,1.8964164030476423E-4,-2.8794789509547537E-6,0,1.8961977834195618E-4
3,-650,1.8960901634583176E-4,-4.3199209937004905E-6,0,1.8955979890852934E-4
4,-650,1.8956357877732786E-4,-5.758245546938923E-6,0,1.8947610141410801E-4
5,-650,1.8949973367160536E-4,-7.193747481675118E-6,0,1.8936314070795102E-4
6,-650,1.8943249326869757E-4,-8.631544730945673E-6,0,1.892357417126924E-4
7,-650,1.893417549022276E-4,-1.0066329518625637E-5,0,1.8907397800722783E-4
8,-650,1.8924735085342265E-4,-1.1507654697484767E-5,0,1.8889715108598621E-4
9.000000000000002,-650,1.8912876185597362E-4,-1.2947659998864016E-5,0,1.8868504620591267E-4
10,-650,1.8902434147833775E-4,-1.4362480187375277E-5,0,1.8847790542709906E-4
11,-650,1.8886135979351605E-4,-1.578097237847208E-5,0,1.882008877073799E-4
12,-650,1.8871741670154147E-4,-1.721049117013956E-5,0,1.8793100425471522E-4
13.000000000000002,-650,1.8857991700279013E-4,-1.8640009961807364E-5,0,1.8765642841481062E-4
14,-650,1.8842242540785499E-4,-2.0063926363717263E-5,0,1.8735113892221207E-4
15,-650,1.882043169451234E-4,-2.1486967335193532E-5,0,1.8697372850621765E-4
16,-650,1.8799004118615425E-4,-2.2910008306669794E-5,0,1.865888182731224E-4
17,-650,1.8778906636954742E-4,-2.4324269187746576E-5,0,1.8620704437917576E-4
18.000000000000004,-650,1.8760042534759277E-4,-2.5681434972720765E-5,0,1.8583429039964515E-4
19,-650,1.8731792981496265E-4,-2.7033622238361175E-5,0,1.8535692622299513E-4
20,-650,1.870497472345245E-4,-2.8398492999657816E-5,0,1.8488140397521837E-4
21,-650,1.8682402889477452E-4,-2.9822694184549104E-5,0,1.844283727739591E-4
22,-650,1.8660609956926656E-4,-3.124689536944058E-5,0,1.839713780081735E-4
23,-650,1.8633427999097577E-4,-3.2658629671409385E-5,0,1.8344993270029045E-4
24,-650,1.8599433406329803E-4,-3.408408849145037E-5,0,1.8284465323152517E-4
25,-650,1.8569440750857246E-4,-3.5444166898118814E-5,0,1.822803445598512E-4
26.000000000000004,-650,1.8538818736882172E-4,-3.678388913328207E-5,0,1.8170229914926163E-4
27,-650,1.8508828527112609E-4,-3.8123611368445385E-5,0,1.8111947327892022E-4
28,-650,1.8479527758413888E-4,-3.9463333603608576E-5,0,1.8053237914094313E-4
29,-650,1.8450966851037362E-4,-4.080305583877182E-5,0,1.7994145828025855E-4
30,-650,1.8404134156858084E-4,-4.204041171890552E-5,0,1.7917538667146208E-4
31,-650,1.8368954880600057E-4,-4.342339454930166E-5,0,1.784832181085038E-4
32,-650,1.8334515345309107E-4,-4.4806377379697876E-5,0,1.7778592137974707E-4
33,-650,1.8300870699452268E-4,-4.618936021009397E-5,0,1.7708396268208265E-4
34,-650,1.8273436893348884E-4,-4.747144697361608E-5,0,1.764605092131142E-4
35,-650,1.8234009292729492E-4,-4.873651594260927E-5,0,1.7570617946592072E-4
36.00000000000001,-650,1.8195214940754914E-4,-5.000158491160267E-5,0,1.7494692389509133E-4
37,-650,1.8157102389805484E-4,-5.126665388059589E-5,0,1.7418314189173183E-4
38,-650,1.811971586635692E-4,-5.2531722849589134E-5,0,1.7341519080577868E-4
39,-650,1.808309580296752E-4,-5.379679181858239E-5,0,1.7264339133589288E-4
40,-650,1.8047279289425645E-4,-5.506186078757561E-5,0,1.7186803211086937E-4
0,-649,1.9258220627732197E-4,-5.285093521147549E-10,0,1.9258220627659675E-4
1,-649,1.925652903855813E-4,-1.464940450841983E-6,0,1.9255971803770053E-4
2,-649,1.9254620912853687E-4,-2.928386210531922E-6,0,1.9252393930099243E-4
3,-649,1.925096475653381E-4,-4.393388497569479E-6,0,1.9245950884079515E-4
4,-649,1.9246866918994247E-4,-5.855250774852846E-6,0,1.9237958482674585E-4
5,-649,1.9240234222403475E-4,-7.316173655869323E-6,0,1.922631917355263E-4
6,-649,1.923265718931156E-4,-8.780469768979908E-6,0,1.9212603573382186E-4
7,-649,1.9224620987175827E-4,-1.0237445692457513E-5,0,1.9197343544290213E-4
8,-649,1.9215193773566077E-4,-1.1691375032673869E-5,0,1.9179593041932516E-4
9.000000000000002,-649,1.9202796972652344E-4,-1.3140215007877712E-5,0,1.9157785860280763E-4
10,-649,1.9191301640101156E-4,-1.460194494764947E-5,0,1.9135670635721328E-4
11,-649,1.9176662953850968E-4,-1.607314737029665E-5,0,1.9109184738803678E-4
12,-649,1.916114352122428E-4,-1.7528660408020695E-5,0,1.9080798769547308E-4
13.000000000000002,-649,1.9147288985619493E-4,-1.8958179199688356E-5,0,1.9053203140499778E-4
