% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:30"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,7.472470787224005E-4,-4.431178058566193E-9,0,7.47247078709262E-4
1,-650,7.47086957615736E-4,-1.006863218145428E-5,0,7.470191061047443E-4
2,-650,7.469303365840109E-4,-2.0120650822481835E-5,0,7.466592844932577E-4
3,-650,7.466561867953295E-4,-3.017464419271447E-5,0,7.460462131313214E-4
4,-650,7.462795771620107E-4,-4.0202996229145E-5,0,7.451958979914669E-4
5,-650,7.45722126911608E-4,-5.015811993714782E-5,0,7.440333685863445E-4
6,-650,7.451642592350564E-4,-6.016623048690371E-5,0,7.427313093914428E-4
7,-650,7.444150342715432E-4,-7.013150406766475E-5,0,7.411041191267998E-4
8,-650,7.435654425276075E-4,-8.005755176461763E-5,0,7.392430965025864E-4
9.000000000000002,-650,7.427062764720294E-4,-8.980613239062556E-5,0,7.372567203464367E-4
10,-650,7.41556079119357E-4,-9.946045631285926E-5,0,7.348557927300511E-4
11,-650,7.404865316371068E-4,-1.0925287842733543E-4,0,7.323824902954015E-4
12,-650,7.390793945652941E-4,-1.1918628758058E-4,0,7.294059091642738E-4
13.000000000000002,-650,7.375654008396915E-4,-1.2880495226527086E-4,0,7.262313713877666E-4
14,-650,7.362791694215563E-4,-1.3815527037919467E-4,0,7.232013112478076E-4
15,-650,7.350868807738299E-4,-1.4750558849311733E-4,0,7.201352814916776E-4
16,-650,7.338654025565222E-4,-1.5678027430385808E-4,0,7.1692285125992E-4
17,-650,7.317187768961013E-4,-1.6569660695905486E-4,0,7.127110234201397E-4
18.000000000000004,-650,7.296268370166883E-4,-1.7461293961425206E-4,0,7.084247614350071E-4
19,-650,7.276027428224037E-4,-1.8352927226944894E-4,0,7.040758180643129E-4
20,-650,7.245863978119239E-4,-1.914869610391836E-4,0,6.988262957602824E-4
21,-650,7.229259341103861E-4,-2.0104425600521556E-4,0,6.944084628924704E-4
22,-650,7.222135964376275E-4,-2.106152182868937E-4,0,6.908210395647605E-4
23,-650,7.189832042761566E-4,-2.195814581751551E-4,0,6.846318947119556E-4
24,-650,7.162362173617223E-4,-2.28137892569671E-4,0,6.789310871027322E-4
25,-650,7.1409654089922E-4,-2.3614450334942007E-4,0,6.739210957241857E-4
26.000000000000004,-650,7.12049139482461E-4,-2.4415111412916853E-4,0,6.688828077527475E-4
27,-650,7.100983527463867E-4,-2.5215772490891765E-4,0,6.638193672542933E-4
28,-650,7.073762840053222E-4,-2.5986712335287175E-4,0,6.579135850349053E-4
29,-650,7.040714435810746E-4,-2.6722481321157457E-4,0,6.513888983321541E-4
30,-650,7.008335483895614E-4,-2.7458250307027835E-4,0,6.448039326461682E-4
31,-650,6.976705732628443E-4,-2.819401929289817E-4,0,6.381645214269393E-4
32,-650,6.945897434801722E-4,-2.8929788278768415E-4,0,6.314757689432071E-4
33,-650,6.915976404086546E-4,-2.966555726463874E-4,0,6.24742160764473E-4
34,-650,6.898614395304154E-4,-3.014871656348327E-4,0,6.204952011969569E-4
35,-650,6.854818566314174E-4,-3.104904791470346E-4,0,6.111309500670867E-4
36.00000000000001,-650,6.821524901316981E-4,-3.166958693227019E-4,0,6.041818816770449E-4
37,-650,6.789046528170225E-4,-3.229012594983696E-4,0,5.971987141906523E-4
38,-650,6.75742928593737E-4,-3.2910664967403697E-4,0,5.901841396418333E-4
39,-650,6.726716086358773E-4,-3.3531203984970464E-4,0,5.831405739584658E-4
