% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:29"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,1.5806458323298832E-4,-3.645780789081395E-10,0,1.5806458323256787E-4
1,-650,1.5805057858781513E-4,-1.200394244491188E-6,0,1.5804602002455145E-4
2,-650,1.5803470025397445E-4,-2.399565792462322E-6,0,1.580164819516344E-4
3,-650,1.5800751362153047E-4,-3.5999341614168043E-6,0,1.5796649909044513E-4
4,-650,1.5796964898111062E-4,-4.798537955782436E-6,0,1.578967511784274E-4
5,-650,1.5791644472634177E-4,-5.99478956806254E-6,0,1.5780261725662983E-4
6,-650,1.5786041105725189E-4,-7.192953942454619E-6,0,1.5769645142724758E-4
7,-650,1.577847957518603E-4,-8.388607932187828E-6,0,1.5756164833936052E-4
8,-650,1.5770612571118996E-4,-9.589712247903782E-6,0,1.5741429257165964E-4
9.000000000000002,-650,1.5760730154664875E-4,-1.0789716665719805E-5,0,1.572375385049313E-4
10,-650,1.5752028456528558E-4,-1.1968733489479147E-5,0,1.5706492118925335E-4
11,-650,1.573844664946008E-4,-1.3150810315393128E-5,0,1.568340730894874E-4
12,-650,1.572645139179552E-4,-1.4342075975116124E-5,0,1.566091702122667E-4
13.000000000000002,-650,1.5714993083566233E-4,-1.5533341634839235E-5,0,1.563803570123461E-4
14,-650,1.5701868783988288E-4,-1.6719938636430727E-5,0,1.5612594910184718E-4
15,-650,1.5683693078760675E-4,-1.7905806112660946E-5,0,1.5581144042185204E-4
16,-650,1.5665836765513277E-4,-1.909167358889124E-5,0,1.5549068189427294E-4
17,-650,1.5649088864129373E-4,-2.0270224323122002E-5,0,1.5517253698265073E-4
18.000000000000004,-650,1.563336877896645E-4,-2.14011958106003E-5,0,1.548619086663749E-4
19,-650,1.56098274845806E-4,-2.2528018531967165E-5,0,1.5446410518583318E-4
20,-650,1.5587478936210768E-4,-2.3665410833047945E-5,0,1.540678366460193E-4
21,-650,1.5568669074564952E-4,-2.4852245153790672E-5,0,1.536903106449701E-4
22,-650,1.555050829743928E-4,-2.6039079474533534E-5,0,1.5330948167348202E-4
23,-650,1.5527856665915023E-4,-2.7215524726174217E-5,0,1.5287494391691257E-4
24,-650,1.549952783860855E-4,-2.8403407076208224E-5,0,1.5237054435960826E-4
25,-650,1.5474533959048108E-4,-2.9536805748431853E-5,0,1.5190028713321353E-4
26.000000000000004,-650,1.5449015614068872E-4,-3.065324094440121E-5,0,1.5141858262438884E-4
27,-650,1.5424023772594227E-4,-3.1769676140370554E-5,0,1.5093289439910426E-4
28,-650,1.5399606465345297E-4,-3.288611133633993E-5,0,1.504436492841234E-4
29,-650,1.537580570919819E-4,-3.40025465323092E-5,0,1.4995121523355293E-4
30,-650,1.5336778464048769E-4,-3.503367643242067E-5,0,1.493128222262223E-4
31,-650,1.530746240050043E-4,-3.618616212441754E-5,0,1.4873601509042393E-4
32,-650,1.527876278775796E-4,-3.7338647816414275E-5,0,1.4815493448312657E-4
33,-650,1.5250725582877269E-4,-3.849113350841106E-5,0,1.475699689017396E-4
34,-650,1.522786407779111E-4,-3.9559539144679536E-5,0,1.4705042434426583E-4
35,-650,1.5195007743941616E-4,-4.061376328550725E-5,0,1.4642181622160461E-4
36.00000000000001,-650,1.5162679117296143E-4,-4.1667987426334945E-5,0,1.4578910324591356E-4
37,-650,1.5130918658171617E-4,-4.272221156716269E-5,0,1.45152618243114E-4
38,-650,1.509976322196448E-4,-4.3776435707990394E-5,0,1.445126590048197E-4
39,-650,1.5069246502473317E-4,-4.4830659848818126E-5,0,1.4386949277991494E-4
40,-650,1.5039399407855083E-4,-4.5884883989645735E-5,0,1.4322336009239532E-4
0,-649,1.6048517189777223E-4,-4.4042446009646614E-10,0,1.604851718971679E-4
1,-649,1.6047107532132172E-4,-1.2207837090349836E-6,0,1.6046643169808776E-4
2,-649,1.604551742737847E-4,-2.440321842109831E-6,0,1.6043661608416434E-4
3,-649,1.604247063044524E-4,-3.661157081307845E-6,0,1.6038292403399993E-4
4,-649,1.6039055765828942E-4,-4.8793756457105606E-6,0,1.603163206889589E-4
5,-649,1.6033528518669962E-4,-6.0968113798911825E-6,0,1.602193264462759E-4
6,-649,1.6027214324426686E-4,-7.31705814081631E-6,0,1.6010502977818874E-4
7,-649,1.602051748931359E-4,-8.531204743714458E-6,0,1.5997786286908912E-4
8,-649,1.601266147797213E-4,-9.742812527227984E-6,0,1.598299420161083E-4
9.000000000000002,-649,1.6002330810544006E-4,-1.0950179173230962E-5,0,1.596482155023436E-4
10,-649,1.5992751366751364E-4,-1.2168287456374035E-5,0,1.5946392196434844E-4
11,-649,1.5980552461542888E-4,-1.339428947524663E-5,0,1.592432061567015E-4
12,-649,1.5967619601020615E-4,-1.4607217006683542E-5,0,1.590066564128981E-4
13.000000000000002,-649,1.5956074154683275E-4,-1.5798482666406734E-5,0,1.5877669283750182E-4
14,-649,1.5942309239515363E-4,-1.6986059996435455E-5,0,1.5851560224353686E-4
15,-649,1.5924015510306592E-4,-1.8171927472665705E-5,0,1.5819989901759315E-4
16,-649,1.5906041993198124E-4,-1.935779494889583E-5,0,1.57878095262309E-4
17,-649,1.5890860832588468E-4,-2.059326290766223E-5,0,1.5756859878441937E-4
18.000000000000004,-649,1.5868825749478676E-4,-2.1734553105348772E-5,0,1.5719278694661061E-4
19,-649,1.5848936027381132E-4,-2.2921387426091554E-5,0,1.5682310836884013E-4
20,-649,1.5829560841390108E-4,-2.410822174683435E-5,0,1.5644901178125917E-4
21,-649,1.5810767520609608E-4,-2.5295056067577008E-5,0,1.5607112832812642E-4
22,-649,1.5792611768568733E-4,-2.6481890388319884E-5,0,1.5568997440019885E-4
23,-649,1.5770128055582437E-4,-2.7664243414803503E-5,0,1.552558647047941E-4
24,-649,1.5741789807328845E-4,-2.88521257648374E-5,0,1.5475125031049746E-4
25,-649,1.5713833847324753E-4,-3.00400081148713E-5,0,1.5424025197914899E-4
26.000000000000004,-649,1.5685843549583453E-4,-3.119862240551032E-5,0,1.5372447673093337E-4
27,-649,1.56606386728114E-4,-3.231505760147954E-5,0,1.5323608392362636E-4
28,-649,1.5636014283352683E-4,-3.3431492797448944E-5,0,1.5274432741105325E-4
29,-649,1.5612010240800454E-4,-3.4547927993418186E-5,0,1.5224955516272428E-4
30,-649,1.5577832013066785E-4,-3.5653288490775206E-5,0,1.5164342400027242E-4
31,-649,1.5548484795951123E-4,-3.6805774182771964E-5,0,1.51065790077698E-4
32,-649,1.5519743552173338E-4,-3.7958259874768784E-5,0,1.5048393435779817E-4
33,-649,1.5491653548235117E-4,-3.911074556676561E-5,0,1.4989824064033004E-4
34,-649,1.5460669033587804E-4,-4.023998496308511E-5,0,1.4927817089844305E-4
35,-649,1.5427537353685246E-4,-4.1294209103912884E-5,0,1.4864615425370974E-4
36.00000000000001,-649,1.5394939314524115E-4,-4.2348433244740615E-5,0,1.48010222118284E-4
37,-649,1.5362913629318625E-4,-4.340265738556832E-5,0,1.4737069196438403E-4
38,-649,1.5331495572383096E-4,-4.445688152639597E-5,0,1.467278478460999E-4
39,-649,1.5300717402019068E-4,-4.5511105667223755E-5,0,1.4608194468376887E-4
40,-649,1.527060871915039E-4,-4.656532980805143E-5,0,1.4543321190569431E-4
0,-648,1.6294661540312372E-4,-5.07528737720332E-10,0,1.6294661540233334E-4
1,-648,1.6293270243001974E-4,-1.2412444147300632E-6,0,1.629279743735012E-4
2,-648,1.62915769894277E-4,-2.4812409994459135E-6,0,1.6289687389065412E-4
3,-648,1.6288746050206626E-4,-3.7215280280443035E-6,0,1.6284494164065606E-4
4,-648,1.6285099668900962E-4,-4.961305203063941E-6,0,1.6277540530831391E-4
5,-648,1.6279612852453736E-4,-6.203526270020436E-6,0,1.626778894760897E-4
6,-648,1.6273619178875593E-4,-7.43738460194082E-6,0,1.6256615092998162E-4
7,-648,1.626631643921537E-4,-8.670618534565184E-6,0,1.6243191011712223E-4
8,-648,1.6257413060432783E-4,-9.910598254019625E-6,0,1.6227177198761486E-4
9.000000000000002,-648,1.624822493922623E-4,-1.1143168076533118E-5,0,1.6209969516562162E-4
10,-648,1.6240561620391568E-4,-1.2376148492993216E-5,0,1.61933366305567E-4
11,-648,1.6226625922453663E-4,-1.360111238719091E-5,0,1.6169523377191898E-4
12,-648,1.6212976921474532E-4,-1.4826076281388243E-5,0,1.6145045533452371E-4
13.000000000000002,-648,1.6199770967066784E-4,-1.6051040175586002E-5,0,1.6120056466347664E-4
14,-648,1.618403883576232E-4,-1.7231031466560353E-5,0,1.6092048613630493E-4
15,-648,1.6168283413542622E-4,-1.8463205476155922E-5,0,1.6062518139323297E-4
16,-648,1.6153063657095822E-4,-1.9695379485751844E-5,0,1.6032541463514513E-4
17,-648,1.6138461644962188E-4,-2.092755349534748E-5,0,1.6002197327645644E-4
18.000000000000004,-648,1.611253027608154E-4,-2.2160716568731507E-5,0,1.5959406577603308E-4
19,-648,1.6093301956592298E-4,-2.3364198339877747E-5,0,1.592279844202664E-4
20,-648,1.607383437293577E-4,-2.4551032660620616E-5,0,1.5885232746218824E-4
21,-648,1.605494931345519E-4,-2.5737866981363316E-5,0,1.584730322452725E-4
22,-648,1.6036700326030779E-4,-2.6924701302106097E-5,0,1.5809059489572404E-4
23,-648,1.6014320463770052E-4,-2.811296210343279E-5,0,1.5765629500087645E-4
24,-648,1.5985889773242543E-4,-2.9300844453466714E-5,0,1.5715065287341253E-4
25,-648,1.595783432296376E-4,-3.0488726803500668E-5,0,1.5663870902755015E-4
26.000000000000004,-648,1.5930233431130916E-4,-3.1676609153534485E-5,0,1.561211905846427E-4
27,-648,1.5899232063602644E-4,-3.286043906258865E-5,0,1.5555947276152274E-4
28,-648,1.5874325815971657E-4,-3.397687425855792E-5,0,1.5506448344730834E-4
29,-648,1.585089803891046E-4,-3.5120414857132916E-5,0,1.54569250901518E-4
30,-648,1.5820899036246891E-4,-3.627290054912969E-5,0,1.53994679509601E-4
31,-648,1.5791450629926908E-4,-3.7425386241126554E-5,0,1.534155525507254E-4
32,-648,1.5762602336731005E-4,-3.857787193312335E-5,0,1.5283229710929332E-4
33,-648,1.5734398364108812E-4,-3.97303576251201E-5,0,1.52245288501901E-4
34,-648,1.5695409930584686E-4,-4.092043078149073E-5,0,1.515259305649263E-4
35,-648,1.5661942317645252E-4,-4.197465492231843E-5,0,1.5088993359491218E-4
36.00000000000001,-648,1.5629017798197574E-4,-4.3028879063146245E-5,0,1.50250242263388E-4
37,-648,1.5596673090234717E-4,-4.408310320397392E-5,0,1.496071561131785E-4
38,-648,1.5564941665757018E-4,-4.513732734480171E-5,0,1.4896094315628545E-4
39,-648,1.5533854149728075E-4,-4.619155148562936E-5,0,1.4831184391629978E-4
40,-648,1.5503438658414308E-4,-4.724577562645698E-5,0,1.4766007486445348E-4
0,-647,1.6544954805931144E-4,-5.9477600437303E-10,0,1.6544954805824237E-4
