% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:19"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,9.002804489306749E-4,-2.0802966474173235E-9,0,9.002804489282714E-4
1,-650,9.002013484591526E-4,-6.889221624220923E-6,0,9.001749865404443E-4
2,-650,9.001129609568973E-4,-1.3772402450634507E-5,0,9.000075907531728E-4
3,-650,8.999578845367244E-4,-2.065518945101538E-5,0,8.997208217489239E-4
4,-650,8.997644090104016E-4,-2.753230870078155E-5,0,8.993430734149467E-4
5,-650,8.9946872297506E-4,-3.44255497870165E-5,0,8.988096935014925E-4
6,-650,8.991370295025016E-4,-4.1300954285486326E-5,0,8.981879697466954E-4
7,-650,8.987642080620629E-4,-4.8164283257575715E-5,0,8.974727313471486E-4
8,-650,8.982672273383091E-4,-5.498299464047011E-5,0,8.965828918791723E-4
9.000000000000002,-650,8.977952405847056E-4,-6.1854658816707E-5,0,8.956619313107029E-4
10,-650,8.973005834619027E-4,-6.875325007513532E-5,0,8.94662689333347E-4
11,-650,8.965988360445946E-4,-7.563791469847345E-5,0,8.9340269680396E-4
12,-650,8.95909843152529E-4,-8.249962748218685E-5,0,8.921032779464996E-4
13.000000000000002,-650,8.954138585791243E-4,-8.915254746136429E-5,0,8.909645343203652E-4
14,-650,8.944252668916171E-4,-9.582489618949486E-5,0,8.892773174462581E-4
15,-650,8.934503310177159E-4,-1.024972449176264E-4,0,8.875515809123221E-4
16,-650,8.924964873577468E-4,-1.091695936457569E-4,0,8.857945471547773E-4
17,-650,8.915694648649057E-4,-1.1584194237388779E-4,0,8.840117392130826E-4
18.000000000000004,-650,8.898589351584059E-4,-1.227435887277133E-4,0,8.813529008901565E-4
19,-650,8.894112844913904E-4,-1.2910634404109556E-4,0,8.799909004694123E-4
20,-650,8.883220903646269E-4,-1.3590975428978593E-4,0,8.77863699510733E-4
21,-650,8.872656792694499E-4,-1.4271316453847588E-4,0,8.757130456244741E-4
22,-650,8.862454914642804E-4,-1.4951657478716647E-4,0,8.735421369371243E-4
23,-650,8.852644016089893E-4,-1.5631998503585663E-4,0,8.713536153792624E-4
24,-650,8.83698946668919E-4,-1.630998563735041E-4,0,8.685172797329361E-4
25,-650,8.820611655752245E-4,-1.6988105991726232E-4,0,8.655474136621928E-4
26.000000000000004,-650,8.807126172686805E-4,-1.76226336784579E-4,0,8.629014963712471E-4
27,-650,8.793264747731304E-4,-1.8264028053630802E-4,0,8.601497411279965E-4
28,-650,8.779735043543071E-4,-1.8905422428803522E-4,0,8.573773816861696E-4
29,-650,8.76656132886814E-4,-1.9546816803976165E-4,0,8.545865495145842E-4
30,-650,8.742988112289727E-4,-2.013555885009E-4,0,8.507962965926986E-4
31,-650,8.728832414266539E-4,-2.0796739713794377E-4,0,8.477468459930541E-4
32,-650,8.715091548628283E-4,-2.1457920577498714E-4,0,8.446798041025351E-4
33,-650,8.704446997414913E-4,-2.2109114956208838E-4,0,8.418982592293258E-4
34,-650,8.686208023767653E-4,-2.2722452357629706E-4,0,8.383740896563898E-4
35,-650,8.668260092276317E-4,-2.3335789759050605E-4,0,8.348241862246453E-4
36.00000000000001,-650,8.650628789226488E-4,-2.394912716047145E-4,0,8.312506934223262E-4
37,-650,8.633337319828455E-4,-2.4562464561892324E-4,0,8.276555239011012E-4
38,-650,8.616406809809779E-4,-2.51758019633132E-4,0,8.240403889808841E-4
39,-650,8.599856560085924E-4,-2.578913936473399E-4,0,8.204068244615971E-4
40,-650,8.583704262725218E-4,-2.640247676615489E-4,0,8.167562125631711E-4
0,-649,9.141702543636E-4,-2.497426516867706E-9,0,9.141702543601887E-4
1,-649,9.140915282586763E-4,-7.002961611938066E-6,0,9.140647026129737E-4
2,-649,9.140050831769225E-4,-1.4000946511239084E-5,0,9.138978419769041E-4
3,-649,9.138553039091401E-4,-2.100168780607857E-5,0,9.136139477876654E-4
