% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:20"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,0.00408714364057877,-2.0269978007055945E-8,0,0.004087143640528507
1,-650,0.004086354530123181,-5.31623969300015E-5,0,0.004086008701093391
2,-650,0.00408563350130689,-1.0628386053558678E-4,0,0.004084250830689864
3,-650,0.004084467291191728,-1.5934849434619518E-4,0,0.004081357753268475
4,-650,0.004082380409967984,-2.120306229741048E-4,0,0.0040768704696876965
5,-650,0.004080026105958077,-2.65590599380844E-4,0,0.004071372576763266
6,-650,0.004077641625437811,-3.180861949107748E-4,0,0.0040652161563821294
7,-650,0.004074252139982,-3.705449837750178E-4,0,0.004057366992908958
8,-650,0.004069883483614037,-4.232965343891164E-4,0,0.0040478107186686105
9.000000000000002,-650,0.0040661627382334005,-4.751908295160031E-4,0,0.004038300767568166
10,-650,0.004061697041172873,-5.266177014290447E-4,0,0.004027413146278149
11,-650,0.00405556338086896,-5.775899336356439E-4,0,0.004014222739810043
12,-650,0.004050415356214343,-6.29684473313687E-4,0,0.004001170081604208
13.000000000000002,-650,0.004042908923710684,-6.804448726879173E-4,0,0.0039852361712516115
14,-650,0.004036327522321022,-7.30734720845564E-4,0,0.0039696305413976386
15,-650,0.004030197382614759,-7.810245690032081E-4,0,0.003953794578053873
16,-650,0.004024565541804278,-8.313144171608507E-4,0,0.003937771468749662
17,-650,0.004016452884953743,-8.803311055283689E-4,0,0.00391878947146851
18.000000000000004,-650,0.004006705528639422,-9.291375406588725E-4,0,0.003897485423163003
19,-650,0.003997327254329293,-9.779439757893744E-4,0,0.0038758548422794473
20,-650,0.003988373307484984,-0.0010267504109198757,0,0.0038539467087045426
21,-650,0.003969816140100461,-0.0010668052275731319,0,0.003823789585296864
22,-650,0.003973143132008002,-0.0011174254177274221,0,0.0038127715356731052
23,-650,0.003957713150664986,-0.0011658162903917472,0,0.0037821112833976473
24,-650,0.003944059609062495,-0.0012160809653875373,0,0.003751899956749955
25,-650,0.003933937001415901,-0.0012598841391672972,0,0.0037267348023415623
26.000000000000004,-650,0.003924289184430861,-0.0013036873129470558,0,0.003701411216428394
27,-650,0.003915139270410441,-0.0013474904867268158,0,0.003675946802510985
28,-650,0.0039052989649368966,-0.001391114886955304,0,0.0036491313181123705
29,-650,0.0038890676146986617,-0.0014317727809564631,0,0.0036159194702606607
30,-650,0.0038731700839874936,-0.0014724306749576209,0,0.0035823727342279075
31,-650,0.003857649048215811,-0.001513088568958776,0,0.0035485235185477686
32,-650,0.0038425429992616335,-0.0015537464629599325,0,0.003514400180687181
33,-650,0.0038278868366942854,-0.0015944043569610948,0,0.003480027640844374
34,-650,0.003813712350453146,-0.0016350622509622458,0,0.0034454278874295327
35,-650,0.003799842096630915,-0.0016709642323193673,0,0.0034127230320724496
36.00000000000001,-650,0.0037839907759997823,-0.001706485902347979,0,0.003377349857201507
37,-650,0.0037685718731672456,-0.001742007572376587,0,0.003341787482921365
38,-650,0.0037536092503249064,-0.0017775292424052015,0,0.0033060508460274925
39,-650,0.0037391251051995117,-0.0018130509124338104,0,0.0032701533513363234
40,-650,0.003725140143505976,-0.0018485725824624213,0,0.003234107063182655
0,-649,0.0041947183522306735,-2.5780925903408046E-8,0,0.004194718352151448
1,-649,0.004193900225585487,-5.43893008740433E-5,0,0.00419354753235449
2,-649,0.004193112368427634,-1.0877152580588437E-4,0,0.004191701335905823
3,-649,0.004191845971284116,-1.630420961572115E-4,0,0.004188674005201591
4,-649,0.004189941926278053,-2.1741459233996872E-4,0,0.004184297341325098
5,-649,0.004187486724306763,-2.7115536065509837E-4,0,0.0041786983423828744
6,-649,0.004184416262981123,-3.2488912748677464E-4,0,0.004171784572187517
7,-649,0.004180954851240014,-3.791146712969157E-4,0,0.00416373096322455
8,-649,0.004177406627182572,-4.326351786299944E-4,0,0.004154943192275998
9.000000000000002,-649,0.004172595540567305,-4.8580780638983207E-4,0,0.004144218179634472
10,-649,0.004167167464569219,-5.389411796361378E-4,0,0.0041321697790212665
